이름,알레르기 유발 성분
헬로 디아블로 와퍼 라지세트,"밀, 대두, 우유, 돼지고기, 토마토, 쇠고기, 난류, 오징어"
헬로 이나리우스 와퍼 라지세트,"밀, 대두, 돼지고기, 토마토, 쇠고기, 난류"
헬로 릴리트 와퍼 라지세트,"밀, 대두, 돼지고기, 토마토, 쇠고기, 난류"
치킨킹BLT 라지세트,"밀, 대두, 우유, 돼지고기, 토마토, 닭고기, 쇠고기, 난류"
치킨킹 라지세트,"밀, 대두, 우유, 닭고기, 쇠고기, 난류"
더블비프불고기버거 라지세트,"밀, 대두, 우유, 쇠고기, 난류"
BLT오믈렛킹모닝 세트,"밀, 대두, 우유, 돼지고기, 토마토, 난류"
오믈렛킹모닝 세트,"밀, 대두, 우유, 난류"
블랙바비큐콰트로치즈와퍼 라지세트,"밀, 대두, 우유, 돼지고기, 토마토, 쇠고기, 난류, 오징어"
블랙바비큐와퍼 라지세트,"밀, 대두, 우유, 돼지고기, 토마토, 쇠고기, 난류, 오징어"
몬스터와퍼 라지세트,"밀, 대두, 우유, 돼지고기, 토마토, 닭고기, 쇠고기, 난류"
몬스터X 라지세트,"밀, 대두, 우유, 돼지고기, 토마토, 닭고기, 쇠고기, 조개류, 난류"
통새우와퍼 라지세트,"밀, 대두, 우유, 토마토, 쇠고기, 난류, 새우"
갈릭불고기와퍼 라지세트,"밀, 대두, 토마토, 쇠고기, 난류"
치즈와퍼 라지세트,"밀, 대두, 우유, 토마토, 쇠고기, 난류"
콰트로치즈와퍼 라지세트,"밀, 대두, 우유, 토마토, 쇠고기, 난류"
와퍼 라지세트,"밀, 대두, 토마토, 쇠고기, 난류"
불고기와퍼 라지세트,"밀, 대두, 토마토, 쇠고기, 난류"
통새우와퍼주니어 라지세트,"밀, 대두, 우유, 토마토, 쇠고기, 난류, 새우"
콰트로치즈와퍼주니어 라지세트,"밀, 대두, 우유, 토마토, 쇠고기, 난류"
치즈와퍼주니어 라지세트,"밀, 대두, 우유, 토마토, 쇠고기, 난류"
와퍼주니어 라지세트,"밀, 대두, 토마토, 쇠고기, 난류"
불고기와퍼주니어 라지세트,"밀, 대두, 토마토, 쇠고기, 난류"
비프&슈림프버거 라지세트,"밀, 대두, 우유, 토마토, 쇠고기, 난류, 새우"
통새우슈림프버거 라지세트,"밀, 대두, 우유, 난류, 새우"
슈림프버거 라지세트,"밀, 대두, 우유, 난류, 새우"
롱치킨버거 라지세트,"밀, 대두, 우유, 닭고기, 난류"
바비큐치킨버거 라지세트,"밀, 대두, 우유, 토마토, 닭고기, 난류"
치킨버거 라지세트,"밀, 대두, 우유, 닭고기, 난류"