이름,중량,열량,단백질,나트륨,당류,포화지방,카페인,단백질 백뷴율,나트륨 백분율,포화지방 백분율
헬로 디아블로 와퍼 라지세트,1122,1715,61,2102,87,24,0,111,105,161
헬로 이나리우스 와퍼 라지세트,1037,1517,42,1941,81,18,0,76,97,120
헬로 릴리트 와퍼 라지세트,1037,1484,42,2129,73,18,0,76,106,119
치킨킹BLT 라지세트,972,1413,32,1637,70,17,0,59,82,110
치킨킹 라지세트,923,1343,31,1611,65,15,0,57,21,99
더블비프불고기버거 라지세트,859,1119,31,1229,66,15,0,56,61,101
BLT오믈렛킹모닝 세트,539,857,22,1248,6,13,85,40,62,88
오믈렛킹모닝 세트,501,822,20,1145,4,12,85,36,57,82
블랙바비큐콰트로치즈와퍼 라지세트,1002,1480,47,1875,70.2,25.5,0,83,94,170
블랙바비큐와퍼 라지세트,966,1370,41,1594,68.2,18.3,0,74,80,122
몬스터와퍼 라지세트,1083,1605,54,2511,71,23,0,99,126,51
몬스터X 라지세트,1071,1602,52,2359,72,25,0,94,118,163
통새우와퍼 라지세트,1001,1333,39,1438,61.1,19,0,71,72,126
갈릭불고기와퍼 라지세트,972,1285,37,1294,70,15,0,67,65,101
치즈와퍼 라지세트,976,1308,38,1742,63.4,20,0,67,87,135
콰트로치즈와퍼 라지세트,982,1361,45,1505,62.5,24,0,81,76,158
와퍼 라지세트,951,1211,34,1263,66.8,17,0,61,63,111
불고기와퍼 라지세트,974,1282,34,1340,73.1,14,0,60,67,96
통새우와퍼주니어 라지세트,835,973,26,976,61.3,11,0,45,49,76
콰트로치즈와퍼주니어 라지세트,846,1038,26,1085,59.4,14,0,47,55,91
치즈와퍼주니어 라지세트,843,1030,24,1225,61.1,14,0,43,62,92
와퍼주니어 라지세트,831,991,22,1024,60.9,12,0,40,52,78
불고기와퍼주니어 라지세트,837,989,22,1002,64.8,9,0,40,50,63
비프&슈림프버거 라지세트,917,1166,29,1619,61,12,0,52,81,83
통새우슈림프버거 라지세트,862,1051,20,1391,63,9,0,37,70,61
슈림프버거 라지세트,846,1031,19,1613,50,9,0,34,81,58
롱치킨버거 라지세트,877,1206,27,1677,63,11,0,49,84,72
바비큐치킨버거 라지세트,841,1068,23,1253,64,10,0,42,63,65
치킨버거 라지세트,851,1130,23,1304,60,11,0,42,65,74